t=2026-06-14T21:39:17+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-14T21:39:17+0530 lvl=info msg="using configuration at default config path" path=/home/aryan-budukh/.config/ngrok/ngrok.yml
t=2026-06-14T21:39:17+0530 lvl=info msg="open config file" path=/home/aryan-budukh/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T21:39:17+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T21:39:17+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T21:39:17+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T21:39:17+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T21:40:35+0530 lvl=info msg="join connections" obj=join id=b7779665b4c1 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:25038
t=2026-06-14T21:40:36+0530 lvl=info msg="join connections" obj=join id=a751cd31fc3c l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:41228
t=2026-06-14T21:40:37+0530 lvl=info msg="join connections" obj=join id=791880c29228 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:12028
t=2026-06-14T21:40:38+0530 lvl=info msg="join connections" obj=join id=ee491dce503b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:17584
t=2026-06-14T21:40:39+0530 lvl=info msg="join connections" obj=join id=eb466ab7c436 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:47563
t=2026-06-14T21:40:41+0530 lvl=info msg="join connections" obj=join id=761e3bbb20b7 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:59122
t=2026-06-14T21:40:41+0530 lvl=info msg="join connections" obj=join id=220fc96674dc l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=d4a83cb3f25a l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=3b7440735fb9 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=b55fca6b0e7f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
